中國地區
雪梨,SYDNEY,SYD
布里斯本,BRISBANE,BNE
坎培拉,CANBERRA,CBR
墨爾本,MELBOURNE,MEB
基督城,CHRISTCHURCH,CHC
威靈頓,WELLINGTON,WLG
奧克蘭,AUCKLAND,AKL
努美亞,NOUMEA,NOU
南地,NADI,NAN
巴哥巴哥,PAGO APGO,PPG
凱恩斯,CAIRNS,CNS
何巴特,HAFR ALBATIN,HBT
摩勒斯比港,POTR MORESBY,POM
蘇瓦,SUVA,SUV
大溪地,PAPEETE,PPT
